prompt,prompt_len,target
"Gerhard II, Count of Holstein-Plön",10,1
William Prince,3,1
Sigurd II of Norway,6,1
Gottfried I.,5,1
Gerhard III van Loon,5,1
Charles-Hubert Gervais,6,1
Lewis de Charleton,5,1
Conrad of Offida,5,1
Paula of Rome,4,0
Isabeau of Bavaria,6,0
Elisabeth of Wetzikon,6,0
Bartolomeo da Bisenti,7,1
Anna Margareta von Haugwitz,8,0
Catherine of Lancaster,4,0
"Arnaud Amanieu, Lord of Albret",9,1
Ja'far al-Sadiq,8,1
Filippo Agazzari,6,1
Otto III,3,1
Gertrude of Aldenberg,6,0
Gonçalo Mendes I de Sousa,8,1
"Catherine Woodville, Duchess of Buckingham",8,0
Eleanor F. Helin,6,0
"Ermengol VI, Count of Urgell",11,1
Beatrice of Savoy,4,0
Amata of Assisi,5,0
"Leopold Louis, Count Palatine of Veldenz",10,1
Annette von Droste-Hülshoff,10,0
Ernst Pringsheim,5,1
Adelaide of Eilenburg,6,0
Bartholomew Roberts,6,1
Einion ab Anarawd,8,1
Ruth Roman,3,0
Walter Bower,3,1
Duke Frederick of Saxe-Weimar,8,1
Cornelius Heyns,5,1
Dorothea of Alexandria,5,0
John Albert Vasa,5,1
Leopold von Ranke,5,1
Johannes Sturm,3,1
Georges Richard,3,1
Hildegard Knef,5,0
"René-Robert Cavelier, Sieur de La Salle",12,1
Michael Thonet,4,1
Magdalene Sibylle of Holstein-Gottorp,12,0
Benigna Marie of Reuss-Ebersdorf,11,0
Anton Heimreich,4,1
Lais of Corinth,5,0
Catherine of Ricci,4,0
"Margaret I, Countess of Flanders",7,0
Antonio II Acciaioli,6,1
Adolf I.,4,1
Johann Ludwig Faber,4,1
"Ferdinand Albert II, Duke of Brunswick-Wolfenbüttel",12,1
Ruan Xian,4,1
Wilhelm List,3,1
Olivier de Mauny,5,1
Chuck Berry,3,1
Geoffrey of Paris,4,1
Maria di Navarra,4,0
Hans Hildebrand,3,1
Joan of Polanen,5,0
Georg Friedrich von Greiffenklau,8,1
Giaches de Wert,5,1
Geoffroy Rorgon,5,1
Ragnhild Eriksdotter,8,0
Karl Friedrich August Kahnis,6,1
Beatrice I of Bigorre,6,0
"James Douglas, 2nd Earl of Douglas",10,1
Isaac the Blind,4,1
Lucy of Bolingbroke,6,0
Joanna of Flanders,4,0
"Agnes of Bohemia, Duchess of Jawor",9,0
Arnold Palmer,3,1
Heinrich Werner,3,1
Ōe no Otondo,6,1
Isabel de Bolebec,5,0
Ingeborg Eriksdotter of Sweden,10,0
Liu Bing,3,1
Otto Marseus van Schrieck,8,1
François Sudre,4,1
Robert Peche,4,1
Agnes of the Mark,5,0
"John Neville, 1st Marquess of Montagu",11,1
Benedetto Antelami,6,1
Theresa of León,4,0
Henry I van Vianden,6,1
Vsevolod IV of Kiev,8,1
Empress Wang,4,0
Herbert of Bosham,5,1
Gertrude of Merania,6,0
Elvira of Toro,5,0
Caroline von Briest,5,0
Conrad Schumann,3,1
"Marie Elisabeth, Abbess of Quedlinburg",11,0
Michael Mietke,4,1
Elizabeth of Hungary,4,0
"Elizabeth of Hungary, Duchess of Bohemia",8,0
Frederick of Isenberg,5,1
Catherine of Clermont,4,0
Domenico Cimarosa,6,1
"Eleanor, Fair Maid of Brittany",7,0
Arwa al-Sulayhi,8,0
Jean Daurat,5,1
"Catherine of Foix, Countess of Candale",10,0
Henryka Beyer,4,0
Elisabeth Christine of Brunswick-Wolfenbüttel-Bevern,12,0
Irmgard von Kleve,7,0
Nikola Šubić Zrinski,7,1
Countess Augusta Reuss of Ebersdorf,9,0
Matilda de Percy,5,0
Vincenzo Albrici,5,1
Tatyana Elizarenkova,6,0
Blanche de France,5,0
Adolf Mützelburg,6,1
Alfred Rethel,4,1
Eduard Joseph d'Alton,8,1
Margaret of Montferrat,6,0
William Whiston,4,1
Clarissa Minnie Thompson Allen,6,0
Constance,3,0
"Louisa Hamilton, Duchess of Abercorn",8,0
Florine of Burgundy,5,0
John V of Werle,6,1
Anna von Quitzow,6,0
Beatrice of Burgundy,4,0
Sigbert Heister,5,1
Childebert the Adopted,6,1
Emma of Provence,4,0
Juana de Luna,5,0
Joanna of Flanders,4,0
Gabriel Bonnot de Mably,7,1
Kunigunde of Hohenstaufen,8,0
"Anne Neville, Duchess of Buckingham",7,0
Nicolas le Studite,5,1
"Charles, Count of Charolais",8,1
Yvette of Huy,5,0
Paul Friedrich August Ascherson,7,1
Chris Wood,3,1
Patriarch Timothy III of Alexandria,7,1
August Heinrich Hoffmann von Fallersleben,8,1
Claude Lorrain,4,1
Sancha Raimúndez,6,0
Caecilia Metella,6,0
Marie d'Évreux,7,0
Philippus of Croton,6,1
Vanni Fucci,5,1
Joan II of Dreux,6,0
Kale Kyetaungnyo,8,1
Geoffrey II,3,1
Johann von Hiller,4,1
Alī ibn Ahmad al-Nasawī,10,1
James Douglas,3,1
Huangfu Mi,4,1
Aimeric de Peguilhan,9,1
Catherine of Courtenay,6,0
Georg Wilhelm Richmann,5,1
Leonor de Aragón y de Castilla,8,0
Charles IV of Spain,5,1
Josef August Schultes,5,1
Johann Georg Platzer,5,1
Wilhelm von Grumbach,6,1
Anna Roleffes,4,0
Maria Josefa Canellada,7,0
Herleva,3,0
Prince Eduard of Saxe-Altenburg,9,1
Françoise Marie de Bourbon,6,0
"Isabella of France, Dauphine of Viennois",10,0
Isabeau of Bavaria,6,0
"Alexander of Islay, Earl of Ross",9,1
Eutropius of Saintes,8,1
Gisela,3,0
Walther von Brauchitsch,7,1
Margaret Roper,3,0
Ōtomo no Tabito,6,1
Judith of Brandenburg,4,0
Simon Moritz Bethmann,5,1
Elsie Eaves,5,0
Meret Oppenheim,5,0
Maria Lauber,4,0
Lin Ding,3,1
Marie Angélique de Scorailles,9,0
May Sutton,3,0
Hedwig Dohm,5,0
Paul Wittich,4,1
"Blanche of France, Duchess of Orléans",10,0
Gisela Agnes of Anhalt-Köthen,10,0
Grand Duchess Elena Pavlovna of Russia,8,0
Sophie of Brandenburg-Ansbach-Kulmbach,11,0
Cecilia Gallerani,5,0
Ivory Joe Hunter,4,1
Martin IV,3,1
Anna Gottlieb,3,0
Feodor III of Russia,6,1
Princess Karoline Amalie of Hesse-Kassel,11,0
Augustin Haffner,6,1
Humayun,4,1
Li Cunjin,5,1
Marie de Coucy,5,0
Empress Cao,4,0
Philippa Roet,5,0
King Xin of Han,5,1
Anna Dovara,4,0
Ignatios the Deacon,6,1
Liu Ruyi,4,1
Mary of Burgundy,4,0
Beatriz Pimentel,5,0
Marie Robine,4,0
"Elisabeth, Duchess of Luxembourg",6,0
Friedrich Spanheim the Younger,6,1
"Margaret Douglas, Fair Maid of Galloway",8,0
Blanche of Montferrat,7,0
Louis Aragon,3,1
Æthelflæd,5,0
Christina I,3,0
"Helena, Queen of Hungary",6,0
Dina Merrill,3,0
Friedrich Gustav Jakob Henle,6,1
Yaqob,4,1
Adam Tutbury,4,1
Llywelyn ap Seisyll,9,1
Louise of Savoy,4,0
Yolande Louise of Savoy,7,0
Princess Mathilde of Bavaria,5,0
Friedrich Nicolaus Bruhns,7,1
Clare of Montefalco,6,0
Hawise of Aumale,7,0
Marianne Loir,4,0
Francesco Donato,3,1
"Anna of Masovia, Duchess of Racibórz",12,0
Piotr I z Opola,6,1
Ermentrude of Orléans,7,0
Lucrezia de' Medici,7,0
Dorothea Douglass,4,0
Hugo Licht,3,1
Lady Liu Hua,4,0
Sophia Eleonore of Hesse-Darmstadt,9,0
Guilhem Figueira,5,1
Krystyna Feldman,5,0
Heinrich Laube,4,1
Blanche I of Navarre,6,0
Amber Rayne,4,0
William Crawford,3,1
"Ælfthryth, Countess of Flanders",10,0
Cyril of Turaw,5,1
Ida z Leeuw,5,0
Rudolf von Scherenberg,5,1
Matilde Muñoz Sampedro,7,0
Artaxerxes I of Persia,8,1
Gottfried II of Raabs,7,1
Caspar Georg Carl Reinwardt,8,1
"Jeanne, Dame de Chateaudun",9,0
Al-Mu'tamid ibn Abbad,10,1
Eudoxia of Moscow,6,0
Lina Morgenstern,4,0
Mary Higgins Clark,4,0
Anne de Mortimer,4,0
Erard II of Chacenay,8,1
Nicolo Grimaldi,5,1
Marie de Breuillet,6,0
Cornelius van Poelenburgh,7,1
Andreas Brunner,3,1
Peter of Aquila,4,1
Theuderic III,5,1
Marie of Champagne,4,0
Thomas Dudley,3,1
"Isabel Neville, Duchess of Clarence",7,0
Guan Daosheng,5,0
"Charles II, Grand Duke of Mecklenburg-Strelitz",11,1
Guy de Montpellier,4,1
Margareta Eriksdotter Vasa,10,0
Irena of Rome,5,0
Johann Lukas Schönlein,5,1
Jacob Bernoulli,3,1
Kira Maria,3,0
Inger Ottesdotter Rømer,9,0
Pietro Pacini,4,1
Sophia of Hungary,4,0
"Isabella of Castile, Duchess of York",8,0
Llywelyn the Great,7,1
"Henry Borwin III, Lord of Rostock",9,1
Pepin the Short,5,1
Sophia of Gouda,5,0
Gertrude of Hackeborn,7,0
"Richeza of Sweden, Queen of Poland",10,0
Petrus Gallicus,5,1
Alexander Scultetus,5,1
"James Douglas, 3rd Earl of Angus",10,1
Anna Milder-Hauptmann,7,0
Alfred Schwarzmann,4,1
Eberhard II.,6,1
Matilda of Saxony,5,0
Carl Reinhold August Wunderlich,6,1
Florine of Burgundy,5,0
Pierre de Fermat,5,1
Anne Burns,3,0
Anna Maria Anguissola,6,0
Ludwig Gattermann,5,1
Louise of Brandenburg-Schwedt,8,0
Johann II.,4,1
Elias Magnus Fries,4,1
Giovanni Girolamo Saccheri,5,1
Pyrrho,4,1
Simón Bolívar,4,1
Johanna Maria van der Gheynst,8,0
Giovanni Minuzzo,5,1
İsa Çelebi,6,1
María de Ágreda,6,0
García Sánchez I of Pamplona,6,1
Gottfried von Padberg,6,1
Klaus Kinski,4,1
Qi Kerang,4,1
Wolfgang Clement,3,1
Princess Taiping,4,0
Karoline Kaulla,5,0
Ottomar Rosenbach,5,1
Violante Beatrice of Bavaria,6,0
William Denning,4,1
Jacques Eléonor Rouxel de Grancey,9,1
Elizabeth of Russia,4,0
Janice E. Voss,5,0
Ulla Pia,4,0
Theodore Meliteniotes,6,1
Pierre Le Moyne d'Iberville,10,1
"Elisabeth, Countess of Vermandois",8,0
Gertrude B. Elion,7,0
Giorgio de' Buondelmonti,8,1
Eleanor de Braose,5,0
Florence Sanudo,4,0
Sandy Berger,3,1
Cyprian of Toulon,6,1
"John I, Count of Alençon",8,1
Robert FitzWimarc,5,1
"Joan Holland, Duchess of Brittany",7,0
Yolande of Valois,7,0
Kara Mustafa Pasha,4,1
Louis Lingg,4,1
David of Trebizond,6,1
Anna of Pomerania,5,0
Henriette Paalzow,6,0
Joanna Elisabeth of Holstein-Gottorp,9,0
Agnes de Percy,4,0
John Henry Newman,4,1
Adelaide of Guelders,6,0
Margaret de Stafford,4,0
Ingeborg Magnusdotter of Sweden,9,0
"Arnold III, Count of Bentheim-Steinfurt-Tecklenburg-Limburg",19,1
Salome of Greater Poland,6,0
Hildegard of Flanders,5,0
Martino Altomonte,5,1
Countess Julie von Brandenburg,6,0
Joan II of Dreux,6,0
Manuel Anemas,4,1
"Virginio Orsini, Duke of Bracciano",11,1
Heinrich von Antwerpen,4,1
Isabella of Gloucester and Hertford,7,0
"Maud, Countess of Huntingdon",7,0
Kristin Sigurdsdatter,7,0
Amalia of Saxony,5,0
Jeanne Villepreux-Power,7,0
Elisabeth Albertine of Anhalt-Dessau,10,0
"Joan Beaufort, Countess of Westmorland",9,0
Rosa Parks,3,0
Matilda of Scotland,5,0
Joanna II of Naples,5,0
Pierre de la Vergne,6,1
"Elizabeth Lucretia, Duchess of Cieszyn",10,0
William Berczy,4,1
Gertrud of Lorraine,5,0
John de Lacy,4,1
Donato Felice d'Allio,8,1
Barbara von Krüdener,6,0
Ernst Trygger,4,1
Johann Eck,3,1
"Adolphus Frederick III, Duke of Mecklenburg-Strelitz",13,1
Fructuosus,4,1
Puccio Pucci,5,1
Johann Baptist Cysat,5,1
Carl Brockelmann,5,1
Charlotte Beradt,4,0
Wei Huacun,5,0
Johann Friedrich II. von Alvensleben,9,1
Angelo da Clareno,5,1
Amr ibn Hishām,7,1
Bertrada of Laon,7,0
Anton Heimreich,4,1
Zhong Yao,3,1
Ethel Grey Terry,5,0
Marie Anne Barbier,4,0
Amato Ronconi,5,1
Conrad de Vitinghove,6,1
Johann Vasmer,4,1
H. C. Artmann,7,1
Johan Ramstedt,4,1
Isabella of Aragon,4,0
Eva Marshal,3,0
"Elisabeth of Brandenburg, Duchess of Brunswick-Calenberg-Göttingen",15,0
Kaspar Ulenberg,6,1
Pippo Spano,5,1
"Adam Wenceslaus, Duke of Cieszyn",11,1
Catalina de Eraúso,7,0
Konstantinos Doukas,6,1
Marina the Monk,4,0
Kim Ikhun,5,1
Maredudd ab Owain,7,1
"Amalie von Wallmoden, Countess of Yarmouth",11,0
Jörg Breu the Younger,6,1
Eudokia Makrembolitissa,9,0
Fritz Hartjenstein,5,1
Agostino Ramelli,5,1
Marozia,4,0
Gonzalo Guerrero,4,1
Johannes Ambundii,5,1
Pietro Bembo,4,1
Antonio Santarelli,4,1
Carmen Hermosillo,5,0
Catherine of Poděbrady,7,0
Adolph Kolping,5,1
Johann Centurius Hoffmannsegg,8,1
Richard Lucae,4,1
Marie Durand,3,0
"Matilda, Countess of Rethel",8,0
Guglielma Pallavicini,9,0
Marie of Brienne,5,0
Farid-ud-din Ganj Shakar,11,1
"Eberhard III, Count of Württemberg",10,1
Hans Ulrik Gyldenløve,8,1
Margaret of Villehardouin,6,0
Annette von Droste-Hülshoff,10,0
Johann Melchior Goeze,6,1
Elizabeth de Vere,4,0
Robert I de Beu,6,1
Domenico Flabanico,6,1
Beatrice of Bohemia,4,0
Shlomo ben Aderet,7,1
Robert Themptander,5,1
Alice of Champagne,4,0
Blanche de Bouville,6,0
Peter I,3,1
Lu Zhi,3,1
Ludolph Christian Treviranus,7,1
Yamamoto Kansuke,5,1
James III of Majorca,6,1
Leonora Christina,4,0
Federico Zuccari,5,1
Arwa al-Sulayhi,8,0
Simon Bar Jona Madelka,8,1
Sarah Fielding,3,0
Roger FitzRichard,4,1
Richard Laurence Millington Synge,7,1
Marie de' Medici,5,0
Marguerite of Merania,6,0
Gregory II,3,1
Valentine,2,1
Henriette Marie of Brandenburg-Schwedt,10,0
Jane Seymour,3,0
Empress Yan Ji,5,0
Hermann Berghaus,4,1
Emmy Noether,5,0
John Albert of Brandenburg-Ansbach-Kulmbach,12,1
Nicolaa de la Haye,6,0
Guido Brignone,5,1
Gregory VIII,3,1
Li Mi,3,1
Johannes Eccard,4,1
Agnes of Brandenburg,4,0
Anne of Bohemia,4,0
"William VI, Duke of Aquitaine",8,1
Karl Bernhard Zoeppritz,6,1
Barbara Sophie of Brandenburg,5,0
Christl Cranz,5,0
Pablo Emilio Madero,5,1
Íte of Killeedy,7,0
Elsa Einstein,3,0
Ephraim of Bonn,5,1
Catherine of Burgundy,4,0
Hermann Göring,4,1
Alexandre Léonard,4,1
Diego Osorio de Escobar y Llamas,8,1
Stella Adler,3,0
Han Gan,3,1
Reinaldo Gorno,5,1
Emilie of Oldenburg-Delmenhorst,9,0
"Raymond V, Count of Toulouse",7,1
Princess Victoria of Saxe-Coburg and Gotha,11,0
Leo VI the Wise,5,1
"Margaret Ferrers, Countess of Derby",8,0
Carlos Rasch,4,1
Norman Abramson,4,1
Gottfried von Waldeck,6,1
Agustín de Iturbide,8,1
"Agnes, wife of Ramiro I of Aragon",10,0
"Baldwin V, Count of Hainaut",8,1
E. H. Calvert,6,1
Empress Dowager Wang Baoming,8,0
Henry VI the Good,5,1
John Kourkouas,6,1
Philippine Welser,4,0
Adi ibn Zayd,5,1
Paul IV,3,1
Louis,2,1
Heinrich Biber,4,1
Clemente Promontorio,6,1
Rosalind Franklin,5,0
Lauretta of Saarbrücken,6,0
Yi Jachun,5,1
Prince Karl Theodor of Bavaria,6,1
Rita of Armenia,4,0
"Philipp, Landgrave of Hesse",7,1
Pauline Bonaparte,3,0
Julius Oscar Brefeld,6,1
"Liu Fei, Prince of Jiangdu",8,1
Sabina of Brandenburg-Ansbach,8,0
Jakob Mauvillon,5,1
Jean Jaurès,5,1
"Anthony Grey, 11th Earl of Kent",11,1
Friedrich Franz von Braunschweig-Wolfenbüttel,9,1
Madeleine of Valois,5,0
André Charles Boulle,5,1
Euphemia de Ross,5,0
Giovanni II dei Bonacolsi,7,1
Guilhem Ademar,5,1
Elen,2,0
John Gabalas,4,1
Charlotte of Hesse-Homburg,7,0
"Marie Anne de La Trémoille, princesse des Ursins",13,0
Maria Amalia of Saxony,5,0
Beatrice of Burgundy,4,0
Margarethe von Merwitz,6,0
Jami,3,1
Archduchess Maria Christina of Austria,8,0
Heinrich Wilhelm Ludolf,5,1
Margrete Skulesdatter,7,0
Friedrich III.,4,1
François de Surienne,5,1
Elisabeth of Brunswick-Wolfenbüttel,8,0
Richard Barre,3,1
Johann Andreas Stein,4,1
John IV of Werle,6,1
Poppaea Sabina,5,0
Minna Herzlieb,5,0
Empress Jia Nanfeng,6,0
Giorgi Mazniashvili,7,1
"Dorothea of Brandenburg, Duchess of Saxe-Lauenburg",12,0
Anna of Saxe-Wittenberg,7,0
Saint Susanna,3,0
Süleyman Çelebi,7,1
Marfa Apraksina,7,0
Osman II,4,1
Bernhard Wenzeslaus von Pransnitz,9,1
Catharina Hooft,5,0
Francesco Bruni,4,1
Josef Bárta,4,1
Peter Paul Morandell,6,1
Jan van Boendale,5,1
Johann Ernst Plamann,5,1
Anne Hathaway,3,0
Giulietta Guicciardi,8,0
Heinrich Kiepert,4,1
Israel Bruna,4,1
Johann von Würzburg,4,1
Cajetan Anton von Notthaft,8,1
Ralph de Maidstone,5,1
Matilda of Scotland,5,0
Hans Fries,3,1
Elisabeth Farnese,4,0
Yan Shu,3,1
Princess Elisabeth Sophie of Saxe-Altenburg,10,0
"Ingeborg of Denmark, Queen of Norway",10,0
Theodor Magnus Fries,5,1
Margaret of Villehardouin,6,0
Hermann Osthoff,4,1
"Conrad II, Count of Oldenburg",7,1
Gottfried Welsch,5,1
Marietta Robusti,5,0
Gunnar hinn spaki Þorgrímsson,12,1
Marie de Breuillet,6,0
Cicco Simonetta,5,1
"Albert V, Duke of Mecklenburg",7,1
Johann Wolfgang Trier,4,1
Abd ar-Rahman II,6,1
Mary I of Hungary,5,0
Guillaume Bélibaste,5,1
Urraca of Castile,5,0
Michael I Apafi,5,1
Sigismund von Schrattenbach,9,1
Ginevra d'Este,7,0
Augusta Anastasia of Lithuania,6,0
Olga Meyer,3,0
Abba Pantelewon,6,1
Heinrich I. von Meißen,7,1
Heiner Zieschang,6,1
"Nicholas II, Count of Tecklenburg",9,1
Ernst Busch,3,1
Constance of Austria,5,0
Francesco Pucci,4,1
Vincenzo Albrici,5,1
Duchess Maria Dorothea of Württemberg,8,0
Margery Jourdemayne,7,0
Herdis Torvaldsdatter,8,0
Elisabeth Christine of Brunswick-Wolfenbüttel-Bevern,12,0
Consort Mei,4,0
Agostino Steuco,5,1
Jane Marken,3,0
William Peverel,5,1
"Richardis of Schwerin, Queen of Sweden",10,0
Charles de Saint-Évremond,8,1
Poppaea Sabina,5,0
"Mary of Scotland, Countess of Boulogne",8,0
John Evans Atta Mills,5,1
Gerontius of Cervia,7,1
Agnes von Weimar-Orlamünde,8,0
John II of Beirut,5,1
Wilhelm I,3,1
"Rainier I of Monaco, Lord of Cagnes",11,1
Alain I de Rohan,5,1
Zawisza Czarny,6,1
"Beatrice of Sicily, Latin Empress",7,0
Saint Rosalia,4,0
Vlad cel Tânăr,5,1
Margaret of Blois,5,0
Irene Angelina,3,0
Grazia Deledda,6,0
Eugen von Lommel,5,1
Blanche of Navarre,5,0
Tassilo I of Bavaria,7,1
Antoinette Bourignon,6,0
Hildegard Knef,5,0
Maximilian William of Brunswick-Lüneburg,10,1
Larry Flynt,4,1
Marie of Brienne,5,0
Kurt Georg Kiesinger,5,1
Gerhard Halepaghe,5,1
Georg Sterzinsky,5,1
Jane Seymour,3,0
Theodora of Trebizond,7,0
Martin Rathke,4,1
"Anne of Austria, Duchess of Bavaria",8,0
Thomas Usk,4,1
Catherine de' Medici,5,0
Franz Konwitschny,6,1
Damasus II,4,1
Ulisse Aldrovandi,7,1
"John, Count of Eu",6,1
"John II, Burgrave of Nuremberg",8,1
Jost Andreas von Randow,7,1
Ibn Taymiyyah,5,1
Euphrasius of Illiturgis,9,1
Bernhard,2,1
Johann Friedrich Eyserbeck,6,1
Bernardo Rucellai,7,1
Berengaria of Navarre,6,0
Peter the Athonite,6,1
Countess Emilia Antwerpiana of Nassau,8,0
Huineng,4,1
Pietro Campano,4,1
Johann Daniel Busch,4,1
Hugh of Saint-Cher,6,1
Diego Columbus,3,1
Kathleen Antonelli,4,0
Marie von Thadden-Trieglaff,9,0
Asenath Barzani,6,0
Yang Tong,3,1
August von Kotzebue,6,1
Gerolamo Cardano,5,1
Matilda of Boulogne,5,0
Pilgrim,3,1
Angharad ferch Owain,8,0
Adrian von Bubenberg,6,1
"James Scott, Earl of Dalkeith",8,1
Mahaut of Châtillon,6,0
Fulk FitzRoy,5,1
Ibn Kemal,3,1
Otto Benndorf,4,1
Huang Tingjian,4,1
Johann Stadlmayr,5,1
Elisabeth of Meissen,5,0
Joseph Maria Olbrich,6,1
"John of Lusignan, Regent of Armenia",10,1
Susanna Margaretha Brandt,6,0
Pere Miquel Carbonell,5,1
Juliana of Liège,5,0
Damian of Tarsus,5,1
Johann Friedrich Gronovius,6,1
"Catherine of Foix, Countess of Candale",10,0
Gustav Roch,3,1
Nikolaus von Pelgrims,7,1
Johann Heinrich Roos,4,1
Jacob van Eyck,5,1
Al-Mutawakkil II,7,1
"Albert II, Duke of Mecklenburg",7,1
Frieda Fromm-Reichmann,8,0
"John de Botetourt, 1st Baron Botetourt",14,1
Gómez González,5,1
Irene Palaiologina of Trebizond,9,0
Charlotte Buff,3,0
Willy Ley,3,1
Robert de Lorris,5,1
Ding Yi,3,1
Fátima de Madrid,5,0
Anna Maria of Brandenburg,5,0
Claude Bausmont,4,1
Gertrude of Bavaria,5,0
Lucy Walter,3,0
Beatrice of England,4,0
Wei Baoheng,5,1
"Elisabeth of Brandenburg, Duchess of Brzeg-Legnica and Cieszyn",17,0
Pedro Porter Casanate,6,1
Philip the Tetrarch,6,1
Amalberga of Maubeuge,8,0
Agnese del Maino,6,0
Empress Dou,4,0
Ulrich III of Neuchâtel,7,1
Gerard Segarelli,4,1
"Amalie von Wallmoden, Countess of Yarmouth",11,0
Silas Wood,4,1
"Frederick Casimir, Count of Hanau-Lichtenberg",13,1
Urraca Sánchez of Pamplona,6,0
Clement IX,3,1
Constance of Portugal,5,0
Olympias the Deaconess,6,0
Andreas Kesler,4,1
George Frideric Handel,6,1
Liu Can,3,1
Yolanda of Lusignan,7,0
Isotta Nogarola,6,0
He Yong,3,1
Jeanne Villepreux-Power,7,0
Gil Aires,3,1
Richard Fitz Pons,4,1
Dennis M. Ritchie,5,1
Pál Vásárhelyi,7,1
"Roger de Quincy, 2nd Earl of Winchester",11,1
Anna Komnene Angelina,5,0
Wu Zetian,4,0
Reimar Lüst,5,1
Michiel van Musscher,6,1
"Roger Beauchamp, 1st Baron Beauchamp of Bletso",13,1
Bertrand de Beauvau,5,1
Friedrich Hoßbach,5,1
Caroline of Hesse-Homburg,7,0
Andreas Reinecke,4,1
Samuel Heinicke,4,1
Constance of Greater Poland,6,0
"Catherine of Bosnia, Countess of Cilli",9,0
Elisabetta Visconti,5,0
Adalbert Geheeb,6,1
Mustafa II,3,1
Antoinette de Maignelais,7,0
James Lancaster,3,1
Gertrude of Flanders,5,0
Rodrigo Sánchez de Arévalo,7,1
Loretta von Sponheim,6,0
Elisiv of Kiev,6,0
Wenceslaus I of Legnica,9,1
Renier Brus,4,1
Constance of Sicily,5,0
Philipp Apian,4,1
Johann Christoph Arnschwanger,7,1
John Paul I,4,1
John of Durnay,5,1
Mayken Verhulst,6,0
Toda of Pamplona,4,0
Anna of Kashin,5,0
Cornelia Schlosser,5,0
"Elizabeth de Burghersh, 3rd Baroness Burghersh",14,0
Pierre II de Dax,5,1
Viktor Ponedelnik,6,1
"Mary, Countess of Blois",7,0
Herleva,3,0
Simon of Warwick,4,1
"Bertha, duchess of Lorraine",7,0
Frederica Henriette of Anhalt-Bernburg,12,0
John Crittenden,5,1
Guy XIV de Laval,5,1
Werner von Eppstein,5,1
Amalia Pachelbel,6,0
Alix de Montmorency,7,0
Al-Mansur Ali bin Salah ad-Din,11,1
Marie de Foix,5,0
Bernhard Gradner,4,1
Nora Stanton Blatch Barney,6,0
Henry Chichele,5,1
Wenceslaus II,5,1
Princess Victoria of Saxe-Coburg and Gotha,11,0
Franz Xaver Haberl,6,1
Richenza of Northeim,6,0
Stephen Uroš III Dečanski of Serbia,10,1
William de Tracy,4,1
Thomas the Archdeacon,5,1
Bernardo Tasso,5,1
Wang Hongyi,4,1
Maria Nagaya,4,0
Wacław Kostewicz,7,1
Lady Mary Grey,4,0
"Anne of York, Duchess of Exeter",8,0
Heinrich Rudolf Hermann Friedrich von Gneist,9,1
Herod the Great,5,1
Ariana Nozeman,4,0
Johann Hilten,4,1
"Maud of Lancaster, Countess of Ulster",9,0
Andreas Althamer,5,1
Eleonore von Lobkowicz,7,0
Bertha,3,0
"Francis I, Duke of Saxe-Lauenburg",10,1
Ernst Werner von Siemens,5,1
"Robert de Beaumont, 1st Earl of Leicester",11,1
Catherine of Burgundy,4,0
Ludovico I Gonzaga,5,1
Aemilia Scaura,6,0
Ludwig Devrient,5,1
"Elizabeth of York, Duchess of Suffolk",8,0
Simone de Beauvoir,5,0
"Dedi I, Margrave of the Saxon Ostmark",12,1
Robert I of Scotland,5,1
"Jacqueline, Countess of Hainaut",7,0
Maredudd ap Tudur,7,1
Jutta Lampe,4,0
Edith the Fair,4,0
Empress Li Fengniang,7,0
Sarah Fielding,3,0
Maria Josefa Canellada,7,0
Olga Chekhova,5,0
Hannah Woolley,4,0
Johann David Wyss,5,1
Hyeonjong,4,1
Mary L. Good,5,0
Guy Georget,4,1
Bartolomeu Perestrello,7,1
Princess Victoria Louise of Prussia,6,0
Jane Marken,3,0
Barbara of Portugal,4,0
Maurice de Hirsch,4,1
Jean Batten,4,0
Ulla Tessin,5,0
Dorothy Round,3,0
Robrecht IV van der Marck,8,1
Fritz Riess,4,1
Maria Antonia of Austria,5,0
"Alberic II, Count of Dammartin",10,1
Ilias Miniatis,5,1
"William de Ferrers, 5th Earl of Derby",12,1
Yi Bangja,4,0
Alois Dessauer,5,1
Mary Higgins Clark,4,0
Josef Mengele,4,1
Archduchess Barbara of Austria,7,0
Kalv Arnesson,6,1
He Quanhao,4,1
Anna Catharina Materna,6,0
Salomon de Bray,5,1
Gerard III van Heemskerk,7,1
Geoffrey de Neville,4,1
Oscar Wilde,3,1
Domenico Veneziano,5,1
Kunigunde of Bohemia,6,0
Johann I. von Kurland,7,1
Brancaleone Doria,5,1
Alberta of Agen,4,0
Michael VII Doukas,5,1
Kinga of Poland,5,0
Maria Anna von Oettingen-Spielberg,10,0
Arnold Duckwitz,4,1
"Isabella, Countess of Brienne",7,0
Glauber Rocha,4,1
Giovanni Schiaparelli,5,1
Al-Baghawi,6,1
Anwar Sadat,5,1
Carmen Hermosillo,5,0
Caroline von Humboldt,4,0
Emperor Xiaojing of Eastern Wei,7,1
Hubert Weise,3,1
Victoria Drummond,3,0
Lady Xuanhua,4,0
"Theodora Syrgiannaina, Queen of Armenia",12,0
Lucia da Caltagirone,7,0
Pietro de' Crescenzi,7,1
Dorothea of Bulgaria,5,0
Milica Hrebeljanović,7,0
Reine Xuan,4,0
Antonio Venier,4,1
